Name,Brand,cluster,Notes
Oud Satin Mood Extrait,Maison Francis Kurkdjian,4,"['Agarwood', 'Bulgarian rose', 'benzoin', 'Turkish rose', 'violet and vanilla.']"
Woman in Gold,By Kilian,5,"['bergamot', 'mandarin', 'geranium', 'rose', 'patchouli', 'oud', 'tonka bean']"
Gold Knight,By Kilian,5,"['Bergamot', 'anise', 'patchouli', 'vanilla', 'cinnamon and honey']"
Eau My Soul,4160 Tuesdays,3,"['Bergamot', 'lavender', 'honey', 'frankincense', 'cognac', 'sandalwood', 'rose', 'jasmine', 'orris', 'myrrh', 'tobacco', 'amber', 'oakmoss', 'vanilla', 'benzoin', 'musk', 'patchouli', 'vetiver']"
Berlin,Gallivant,3,"['Grapefruit', 'clementine', 'lemon', 'schinus molle co2 extract', 'black pepper', 'black tea', 'Haitian vetiver', 'cedarwood', 'patchouli']"
Pink Wood,April Aromatics,1,"['Rose otto', 'rose absolute', 'geranium', 'pink fruits', 'rosewood', 'sandalwood', 'agarwood', 'patchouli', 'cistus', 'labdanum', 'oak']"
El Cosmico,D.S. and Durga,3,"['Sumac', 'creosote', 'pinyon pine', 'oak', 'mesquite', 'sand', 'woods']"
"O, Unknown!",Imaginary Authors,3,"['Black tea', 'Lapsang Souchong tincture', 'orris butter', 'Kyoto moss', 'musk balsam', 'sandalwood']"
Ambra,Jeroboam,5,"['Bergamot', 'geranium', 'incense', 'peru balsam', 'patchouli', 'vetiver', 'vanilla', 'tonka bean', 'enigmatic musks']"
Cafe,Atelier Cologne,5,"['Calabrian bergamot', 'Sicilian tangerine', 'Guatemalan cardamom', 'Indian tuberose', 'cacao absolute', 'rose absolute', 'Indonesian patchouli', 'Madagascar vanilla', 'musk']"
My Own Private Teahupo'o,A Lab on Fire,5,"['Sea salt', 'ozone', 'frangipani', 'salicylates', 'Tahitian vanilla bean', 'Amber Xtreme']"
Kai Rose - Eau de Parfum Eau,Kai,1,"['Gardenia', 'white flowers', 'rose absolute']"
Mosaic,Mosaic,4,"['Vanilla', 'oud', 'musk', 'cedarwood and sandalwood']"
Elysium Pour Homme,Roja Parfums,3,"['Lemon', 'bergamot', 'grapefruit', 'lime', 'lavender', 'thyme', 'artemisia', 'musk', 'lily of the valley', 'rose de mai', 'jasmine', 'apple', 'blackcurrant', 'galbanum', 'pink pepper', 'cypriol', 'vetiver', 'cedarwood', 'juniper', 'benzoin', 'vanilla', 'labdanum', 'leather', 'ambergris', 'musk']"
Velvet Haze,BYREDO,5,"['Ambrette', 'coconut water', 'patchouli leaves', 'cocoa absolute', 'cotton musks', 'wild musk']"
Suede Osmanthe,"Pierre Guillaume Paris, Parfumerie Generale",1,"['Aldehydes', 'black tea', 'osmanthus', 'apricot', 'Suederal', 'Cashmeran', 'musks']"
Patchouli Sublime,PARFUMS DE NICOLAI,3,"['Lavender', 'mint', 'coriander', 'geranium', 'rose', 'tonka bean', 'tobacco', 'patchouli', 'musk', 'amber']"
Tubereuse Absolue,Perris Monte Carlo,1,"['Bergamot', 'cardamom', 'lavender', 'galbanum', 'tuberose', 'broom', 'jasmin sambac', 'gardenia', 'orange blossom', 'cedar', 'vetiver', 'musk']"
Elephant,Zoologist,3,"['Tree leaves', 'Darjeeling tea', 'magnolia', 'cocoa', 'coconut milk', 'incense', 'jasmine', 'woody notes', 'amber', 'musks', 'patchouli', 'sandalwood']"
Layton EXCLUSIF,Parfums de Marly,5,"['Bergamot', 'mandarin', 'water accord', 'grapefruit', 'rose', 'geranium', 'waterlily', 'gardenia', 'civet', 'cardamom', 'sandalwood', 'gaiac', 'amber', 'pink pepper', 'vanilla', 'coffee', 'musk']"
Oud Wood Intense,TOM FORD Private Blend,0,"['Angelica root', 'ginger', 'cypress', 'juniper', 'oud', 'castoreum Click Here For Ingredients Ã\x97Close Oud Wood Intense by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']"
Patch Flash,Tauerville,3,"['Spices', 'Whiskey Accord', 'Leather', 'Patchouli', 'Benzoin']"
Figment Man,Amouage,3,"['Lemon', 'geranium', 'pink pepper', 'sandalwood', 'animalic accord', 'vetiver', 'labdanum', 'guaiac', 'earth accord']"
Champs de Provence,Eight and Bob,1,"['Bergamot', 'orange', 'pear', 'jasmine', 'rose', 'orange blossom', 'musk', 'mate', 'ambroxan']"
Sunny Side Up,Juliette Has a Gun,5,"['Amyris', 'vanilla', 'sandalwood', 'iris butter', 'jasmine', 'ambrette', 'Iso E Super']"
Monsieur Beauregard,Penhaligons,3,"['Lemon', 'pink pepper', 'orris', 'cinnamon', 'benzoin', 'sandalwood', 'tonka bean', 'patchouli']"
The Uncompromising Sohan,Penhaligons,4,"['Rosebud', 'pink pepper', 'saffron', 'labdanum', 'vetiver', 'sandalwood', 'Laos oud']"
The Bewitching Yasmine,Penhaligons,5,"['Cardamom', 'coffee', 'jasmine sambac', 'incense', 'white vanilla', 'Tahitian vanilla', 'Laos oud']"
The Ruthless Countess Dorothea,Penhaligons,3,"['Bergamot', 'red ginger', 'cinnamon', 'beeswax', 'clary sage', 'mate', 'vanilla', 'sherry', 'cashmere wood']"
Terroni,Orto Parisi,3,unknown
Vetyverio -,Diptyque,3,"['Haitian vetiver', 'patchouli', 'grapefruit', 'Turkish rose']"
Aventus For Her,Creed,2,"['Green apple', 'pink berries', 'patchouli', 'bergamot', 'Bulgarian and Turkish roses', 'sandalwood', 'styrax', 'musk', 'sweet peach', 'cassis', 'lilac', 'amber', 'ylang ylang']"
Baccarat Rouge 540 Extrait,Maison Francis Kurkdjian,3,"['Egyptian jasmine grandiflorum', 'saffron', 'Moroccan bitter almond', 'cedar', 'musky wood', 'ambergris']"
Histoire D'Orangers,L'Artisan Parfumeur,1,"['Neroli', 'orange blossom', 'white tea', 'musk', 'tonka bean', 'ambroxan']"
Au Bord De L'Eau,L'Artisan Parfumeur,3,"['Bergamot', 'lemon', 'violet', 'musk', 'orange blossom', 'rosemary']"
Scarlet Lily,Shay & Blue,2,"['Lotus blossom', 'scarlet Ariadne lily', 'ylang ylang', 'amber']"
Delina,Parfums de Marly,1,"['Bergamot', 'lychee', 'rhubarb', 'nutmeg', 'Turkish rose', 'vanilla', 'musk', 'Haitian vetiver', 'cedar', 'frankincense', 'cashmeran']"
10 AM Accord,Cinnamon Projects,3,"['Cedar', 'iris', 'lavender', 'sage', 'vetiver']"
The Cora,Thameen,1,"['Bulgarian Rose', 'jasmine', 'wisteria', 'magnolia', 'carnation', 'nutmeg', 'vanilla', 'lily of the valley', 'benzoin', 'patchouli', 'white musk', 'amber']"
Mandala,Masque Milano,3,"['Nutmeg', 'angelica', 'olibanum (frankincense)', 'cardamom', 'cinnamon', 'clove', 'labdanum', 'cedar', 'myrrh', 'sandalwood', 'oakmoss', 'ambergris']"
Qatar,Roja Parfums,5,"['Citrus notes', 'rose de mai', 'jasmine from Grasse', 'violet', 'pear', 'peach', 'clove', 'saffron', 'patchouli', 'cedarwood', 'casmir wood', 'sandalwood', 'oud', 'candyfloss accord', 'benzoin', 'vanilla', 'orris sur cÃ¨dre', 'orris', 'styrax', 'birch', 'labdanum', 'ambergris', 'musk']"
Nuit de Bakelite,Naomi Goodsir,3,"['Angelica', 'violet leaf', 'galbanum', 'orris', 'karo karounde', 'tuberose', 'leather', 'davana', 'styrax', 'tobacco', 'labdanum', 'gaiac wood']"
Neroli Ad Astra,"Pierre Guillaume Paris, Parfumerie Generale",1,"['Pear', 'tangerine', 'pink pepper', 'neroli', 'agave blossom', 'geranium', 'vetiver', 'jasmine', 'musks']"
Midnight Special,Ex Nihilo,4,"['Black pepper', 'cinnamon', 'saffron', 'rose', 'rose jelly accord', 'grapefruit', 'oud', 'patchouli', 'vanilla']"
Suede de Suede,Mona di Orio,3,"['Cloudberry', 'Sichuan pepper', 'suede accord', 'cedarwood', 'osmanthus', 'strawberry leaf', 'castoreum', 'patchouli', 'precious musks']"
Dojima,Mona di Orio,3,"['Rice accord', 'nutmeg absolute', 'ambrette', 'jasmine', 'orris', 'clary sage absolute', 'labdanum CO2', 'sandalwood', 'precious musks']"
Vitrum,Sammarco,3,"['Vetiver', 'rose', 'black pepper', 'incense', 'bergamot', 'oakmoss']"
Bond-T,Sammarco,5,"['Cocoa', 'patchouli', 'castoreum', 'tonka', 'vanilla', 'osmanthus']"
Naias,Sammarco,1,"['Violet', 'rose', 'jasmine', 'osmanthus', 'neroli', 'iris', 'sandalwood', 'apple', 'pear', 'cassis', 'mandarin', 'amber']"
Osmanthus,Ormonde Jayne,1,"['Pomelo', 'artemisia', 'red pepper', 'osmanthus', 'water lily', 'jasmine sambac', 'cedar', 'labdanum resin', 'vetiver', 'musk']"
Ta'if,Ormonde Jayne,1,"['Saffron', 'dates', 'pink pepper', 'freesia', ""ta'if rose"", 'jasmine', 'orange blossom', 'broom', 'amber']"
Tolu,Ormonde Jayne,3,"['Juniper berry', 'orange blossom', 'clary sage', 'orchid', 'Moroccan rose', 'muguet (lily of the valley)', 'tolu balsam', 'tonka bean', 'golden frankincense', 'amber']"
Montabaco,Ormonde Jayne,3,"['Air note', 'orange absolute', 'bergamot', 'juniper', 'clary sage', 'cardamom', 'magnolia', 'hedione', 'rose', 'violet', 'tea notes', 'tobacco leaf', 'iso e super', 'suede', 'sandalwood', 'moss', 'tonka', 'ambergris']"
Montabaco,Ormonde Jayne,3,"['Air note', 'orange absolute', 'bergamot', 'juniper', 'clary sage', 'cardamom', 'magnolia', 'hedione', 'rose', 'violet', 'tea notes', 'tobacco leaf', 'iso e super', 'suede', 'sandalwood', 'moss', 'tonka', 'ambergris']"
Nawab of,Ormonde Jayne,4,"['Green notes', 'bergamot', 'orange absolute', 'cardamom', 'aldehyde', 'rose', 'magnolia', 'orchid', 'pimento', 'bay', 'cinnamon', 'hedione', 'ambergris', 'musk', 'vetiver', 'labdanum', 'oudh']"
Qi,Ormonde Jayne,1,"['Green lemon blossom', 'neroli', 'freesia', 'tea notes', 'osmanthus', 'violet', 'hedione', 'rose', 'mate', 'benzoin', 'musk', 'moss', 'myrrh']"
Ambre Royal,Ormonde Jayne,5,"['Green notes', 'orange absolute', 'bergamot', 'jasmine', 'orchid', 'osmanthus', 'rose', 'amber', 'orris', 'cedar', 'ambroxan', 'tonka', 'patchouli', 'musk']"
Champaca,Ormonde Jayne,1,"['Neroli', 'pink pepper', 'bamboo', 'champaca absolute', 'basmati rice', 'freesia', 'musk', 'green tea']"
Frangipani,Ormonde Jayne,1,"['Linden blossom', 'magnolia', 'lime', 'frangipani', 'rose', 'tuberose', 'water lily', 'plum', 'amber', 'musk', 'cedar', 'vanilla']"
Isfarkand,Ormonde Jayne,3,"['Lime', 'mandarin orange', 'bergamot', 'pink pepper', 'cedar', 'iris', 'vetiver', 'oakmoss']"
Ormonde Man,Ormonde Jayne,3,"['Juniper berry', 'bergamot', 'pink pepper', 'cardamom', 'coriander', 'agarwood', 'black hemlock', 'vetiver', 'cedar', 'sandalwood', 'musk']"
Ormonde Woman,Ormonde Jayne,3,"['Cardamom', 'coriander', 'grass oil', 'black hemlock', 'violet', 'jasmine', 'vetiver', 'cedar', 'amber', 'sandalwood']"
Santo Incienso,The Different Company,3,"['Bergamot', 'petitgrain', 'nutmeg', 'palo santo', 'Atlas cedar', 'Hedione', 'incense', 'myrrh', 'musks']"
Dragonfly,Zoologist,1,"['Aldehydes', 'Heliotrope', 'Lemon', 'Peony', 'Rainwater', 'Cherry Blossom', 'Clover', 'Iris', 'Lotus', 'Rice', 'Amber', 'Moss', 'Musk', 'Papyrus', 'Sandalwood']"
United Arab Emirates Aoud,Roja Parfums,2,"['Artemisia', 'bergamot', 'black currant', 'cloves', 'geranium', 'jasmine', 'rose', 'taif rose', 'ylang-ylang', 'agarwood', 'benzoin', 'labdanum', 'civet', 'guaiac wood', 'incense', 'musk', 'oakmoss', 'patchouli', 'pink pepper']"
La Douceur de Siam,Dusita,2,"['May rose', 'Frangipani', 'Champaca flower', 'Clove', 'Ylang ylang', 'Violet leaf', 'Sandalwood', 'Vanilla', 'Amber']"
Le Sillage Blanc,Dusita,3,"['Orange blossom', 'Neroli', 'Tobacco', 'Artemisia', 'Galbanum', 'Leather', 'Ambrette seed', 'Patchouli', 'Oakmoss']"
Vespero,Jeroboam,3,"['Bergamot', 'apple', 'pink grapefruit', 'cedarwood', 'geranium', 'leather', 'jasmine', 'patchouli', 'ambery woods', 'musk']"
Santal Complet,Fragrance du Bois,5,"['Lemon', 'coconut', 'violet', 'black pepper', 'musk', 'sandalwood', 'amber', 'vanilla']"
Hacivat,Nishane,3,"['Bergamot', 'pineapple', 'grapefruit', 'jasmine', 'patchouli', 'cedar', 'woody notes', 'oakmoss']"
Karagoz,Nishane,3,"['Pineapple', 'grapes', 'herbal notes', 'neroli', 'jasmine', 'patchouli', 'vetiver', 'oud', 'amber']"
Zenne,Nishane,1,"['Grapefruit', 'blackcurrant (cassis)', 'rhubarb', 'Turkish rose', 'gardenia', 'sandalwood', 'vanilla', 'ambergris', 'musk']"
Hundred Silent Ways,Nishane,1,"['Mandarin', 'tuberose', 'peach', 'white jasmine', 'gardenia', 'orris', 'vanilla', 'sandalwood', 'vetiver']"
Fan Your Flames,Nishane,5,"['Coconut', 'rum', 'tobacco', 'tonka', 'oakmoss', 'cedarwood']"
Afrika-Olifant,Nishane,3,"['Ambergris', 'frankincense', 'myrrh', 'labdanum', 'castoreum', 'civet', 'leather', 'oud', 'musk']"
Ambra Calabria,Nishane,3,"['Bergamot', 'galbanum', 'green leaves', 'jasmine', 'coriander', 'sweet amber', 'musk', 'vanilla']"
Sultan Vetiver,Nishane,3,"['Java vetiver', 'anise', 'pink pepper', 'bergamot', 'bourbon vetiver', 'Haitian vetiver', 'neroli', 'tonka bean', 'amber', 'leather', 'Brazilian vetiver']"
Suede et Safran,Nishane,3,"['Ambrette seed', 'saffron', 'suede', 'ginger', 'musk', 'caraway']"
Pachuli Kozha,Nishane,2,"['Hyacinth', 'ylang ylang', 'artemisia', 'chamomile', 'patchouli', 'black pepper', 'leather', 'honey', 'incense']"
Tuberoza,Nishane,2,"['Ylang ylang', 'orange blossom', 'artemisia', 'tuberose', 'jasmine', 'marigold', 'amberwood', 'vetiver', 'sandalwood', 'musk']"
A City On Fire,Imaginary Authors,3,"['Cade oil', 'spikenard', 'cardamom', 'clearwood', 'dark berries', 'labdanum', 'burnt match']"
Slow Explosions,Imaginary Authors,3,"['Saffron', 'rose absolute', 'leather', 'apple', 'benzoin', 'cashmeran', 'Arpora night market']"
Saint Julep,Imaginary Authors,3,"['Sweet mint', 'tangerine', 'southern magnolia', 'bourbon', 'grisalva', 'sugarcube', 'crushed ice']"
Garage,Comme des Garcons: Olfactory Library,3,"['Laurel aldehyde', 'traces of kerosene', 'leather notes', 'plastic floral notes', 'vetiver acetate', 'Chinese cedarwood']"
Soda,Comme des Garcons: Olfactory Library,3,"['Aldehydes', 'lime', 'citral', 'pimenal', 'lilial', 'iso-eugenol', 'galaxolide', 'acetal Rum']"
Tar,Comme des Garcons: Olfactory Library,3,"['Town gas', 'vapours of bitumen', 'bergamot', 'earth notes', 'opoponax', 'styrax', 'grilled cigarettes', 'pyrogenic notes']"
Palisander,Comme des Garcons: Olfactory Library,3,"['Brazilian palisander wood', 'Virginian red cedar', 'Japanese red chili peppers', 'saffron from Iran', 'myrrh from south Yemen']"
Sequoia,Comme des Garcons: Olfactory Library,3,"['California redwood', 'red rum', 'opopanax', 'kara-karounde from Guinea', 'Chinese agarwood', 'mahogany']"
Eau de Cologne,Comme des Garcons: Olfactory Library,3,unknown
Calamus,Comme des Garcons: Olfactory Library,3,"['Young bamboo leaf', 'celery grains', 'angelica root', 'rose berries']"
Sticky Cake,Comme des Garcons: Olfactory Library,5,"['Almond', 'honey', 'dates', 'pistachio', 'iris', 'milk and brown sugar infusion', 'ambrette seeds', 'cereal notes', 'myrrh']"
Nomad Tea,Comme des Garcons: Olfactory Library,3,"['Wild mint', 'artemisia', 'geranium leaf', 'burmese green tea leaves', 'white sugar', 'smoked woody notes']"
Aprilis,Santa Eulalia,1,"['Bergamot', 'citrus', 'star anise', 'rose', 'iris', 'moss', 'woody notes']"
Citric,Santa Eulalia,3,"['Green mandarin', 'lemon', 'artemisia', 'verbena', 'cardamom', 'black pepper', 'moss', 'bergamot.']"
Marinis,Santa Eulalia,3,"['Seawater', 'grape', 'mint', 'patchouli', 'bay leaf', 'cedar', 'lemon']"
Nectar,Santa Eulalia,5,"['Fruits', 'white flowers', 'coconut', 'saffron', 'lily of the valley', 'lemon leaf', 'vanilla']"
Obscuro,Santa Eulalia,3,"['Incense', 'star anise', 'saffron', 'peru balsam', 'leather', 'amber']"
Noble VIII,Clive Christian,3,"['Bergamot', 'immortelle', 'papyrus']"
Palace,Thameen,4,"['Aged Indian oud', 'Indonesian oud', 'jasmine', 'taif rose', 'atlas cedar', 'amber', 'sandalwood']"
Rosa Greta,Eau d'Italie,1,"['Lychee', 'white tea', 'rosebud', 'damascus rose infusion', 'cedarwood', 'Ambrox']"
Santal Noble,Maitre Parfumeur et Gantier,5,"['coffee beans', 'spice oils', 'incense', 'sandalwood', 'patchouli', 'vanilla', 'vetiver', 'ambergris', 'oak moss']"
This Is Not A Blue Bottle,Histoires de Parfums,3,"['Aldehydes', 'orange zest', 'honey', 'geranium', 'musk', 'patchouli', 'amber']"
Incident Diplomatique,Jovoy Paris,3,"['Mandarin orange', 'haitian vetiver', 'java vetiver oil', 'nutmeg', 'patchouli', 'sandalwood']"
1899 Travel Spray,Histoires de Parfums,3,"['Italian bergamot', 'juniper', 'black pepper', 'orange blossom', 'florentine iris', 'cinammon', 'vanilla', 'vetiver', 'yellow amber']"
1828 Travel Spray,Histoires de Parfums,3,"['Grapefruit', 'Citrus', 'Tangerine', 'Eucalyptus', 'Nutmeg', 'Pepper', 'Cedar', 'Incense', 'Vetiver', 'Pinecone']"
Close Up,Olfactive Studio,5,"['Green coffee', 'fresh spices', 'Griotte cherry', 'blonde tobacco', 'patchouli', 'atlas cedarwood', 'Centifolia rose', 'amber', 'musk', 'tonka bean']"
Aqua Universalis,Maison Francis Kurkdjian,1,unknown
A la Rose,Maison Francis Kurkdjian,1,unknown
Remarkable People,Etat Libre d'Orange,3,"['Grapefruit', 'champagne accord', 'cardamom', 'jasmine', 'curry JE', 'black pepper', 'labdanum', 'sandalwood', 'lorenox']"
Bull's Blood,Imaginary Authors,3,"['Patchouli', 'rose', 'costus root', 'tobacco', 'black musk', ""bull's blood""]"
Cape Heartache,Imaginary Authors,3,"['Douglas fir', 'pine resin', 'Western hemlock', 'vanilla leaf', 'strawberry', 'old growth', 'mountain fog']"
Every Storm A Serenade,Imaginary Authors,3,"['Danish spruce', 'eucalyptus', 'vetiver', 'calone', 'ambergris', 'Baltic sea mist']"
Falling Into The Sea,Imaginary Authors,3,"['Lemon', 'bergamot', 'grapefruit', 'lychee', 'tropical flowers', 'warm sand']"
Memoirs of a Trespasser,Imaginary Authors,3,"['Madagascar vanilla', 'guaiacwood', 'myrrh', 'benzoin resin', 'ambrette seeds', 'oak barrels']"
The Cobra & The Canary,Imaginary Authors,3,"['Lemon', 'orris', 'tobacco flowers', 'leather', 'hay fields', 'asphalt']"
The Soft Lawn,Imaginary Authors,3,"['Linden blossom', 'laurel', 'ivy leaves', 'vetiver', 'oakmoss', 'fresh tennis balls', 'clay court']"
Yesterday Haze,Imaginary Authors,3,"['Fig', 'iris', 'cream', 'tonka', 'tree bark', 'walnut bitters', 'orchard dust']"
Empathy,The House Of Oud,5,"['Pear blossom', 'raspberry flowers', 'Indian davana', 'fruity tobacco', 'raspberry infusion', 'scorched wood', 'transparent mosses', 'benzoin', 'silver fir', 'Irian oud']"
Altruist,J.F. Schwarzlose,3,"['bergamot', 'lemon', 'ginger', 'watery notes', 'rose', 'orange blossom', 'nutmeg', 'black pepper', 'cedar', 'vetiver', 'patchouli', 'ambrarome']"
Leder 6,J.F. Schwarzlose,5,"['Osmanthus', 'saffron', 'leather', 'milk', 'vanilla', 'incense', 'styrax']"
Zeitgeist,J.F. Schwarzlose,3,"['Amber Xtreme', 'Peru balsam', 'Calone', 'seaweed', 'Nebulone', 'Edelonide', 'Leatherwood']"
Rausch,J.F. Schwarzlose,5,"['Red pepper', 'sandalwood', 'cypriol', 'patchouli', 'vanilla bean', 'amber', 'oud']"
IA-33,J.F. Schwarzlose,1,"['Mandarine', 'pink pepper', 'Spree river accord', 'jasmine sambac', 'lime-tree blossom', 'magnolia', 'cedarwood', 'iris powder']"
Kai Rose - Perfume Oil,Kai,1,"['Gardenia', 'white flowers', 'rose absolute']"
Blossom Love,Amouage,2,"['Cherry blossom nectar', 'rose liquor', 'ylang ylang', 'amaretto', 'vanilla', 'tonka bean', 'sandalwood', 'cashmeran']"
Epidor,Lubin,5,"['Violet', 'plum', 'jasmine', 'orange blossom', 'cedar', 'sandalwood', 'tonka bean', 'vanilla']"
Sole di Positano,TOM FORD Private Blend,0,"['Calabrian bergamot', 'bitter orange', 'mandarin', 'lemon', 'shiso leaf', 'orange blossom', 'ylang-ylang', 'jasmine', 'lily of the valley', 'neroli', 'moss Click Here For Ingredients Ã\x97Close Sole di Positano by TOM FORD Private Blend Ingredients Please be aware that ingredient lists may change or vary from time to time.  Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.']"
Absolue d'Osmanthe,Perris Monte Carlo,1,"['Osmanthus', 'plum', 'baie rose', 'jasmine sambac', 'sandalwood', 'tolu balsam', 'castoreum', 'labdanum', 'vanilla', 'dry woods']"
Santal du Pacifique,Perris Monte Carlo,5,"['Carrot', 'orchid', 'violet', 'gurjum balsam', 'Pacific sandalwood', 'dry woods', 'cashmere woods', 'musk']"
Vanille,Comptoir Sud Pacifique,5,"['Lemon', 'bergamot', 'rose', 'jasmine', 'blackberry', 'pink berries', 'musk', 'vanilla', 'cashmere wood']"
Une Tonne de Roses,Parle Moi de Parfum,1,"['Rose', 'patchouli']"
Flavia Vanilla,Parle Moi de Parfum,2,"['Ylang ylang', 'michelia', 'vanilla', 'sugar']"
Totally White,Parle Moi de Parfum,1,"['Lilac', 'wisteria', 'hawthorn']"
Cedar Woodpecker,Parle Moi de Parfum,3,"['Cedar', 'citrus', 'iris']"
Milky Musk,Parle Moi de Parfum,1,"['Sandalwood', 'musk', 'fig']"
Tomboy Neroli,Parle Moi de Parfum,1,"['Neroli', 'orange blossom', 'amber']"
Woody Perfecto,Parle Moi de Parfum,3,"['Coffee', 'vetiver', 'leather']"
Satori,Parfum Satori,5,"['Bergamot', 'coriander', 'cinnamon', 'clove', 'cacao', 'vanilla', 'frankincense', 'sandalwood', 'oak moss', 'agarwood (oud)']"
Iris Homme,Parfum Satori,3,"['Lemon', 'cardamom', 'orange flower', 'iris', 'violet', 'jasmine', 'amber', 'sandalwood', 'light musk']"
Hana Hiraku,Parfum Satori,2,"['Melon', 'bergamot', 'galbanum', 'magnolia', 'iris', 'jasmine', 'tuberose', 'rose', 'ylang ylang', 'chamomile', 'miso', 'kogashi-shoyu', 'beeswax', 'sandalwood', 'cedarwood']"
Wasanbon,Parfum Satori,5,"['Lemon', 'muscat', 'mimosa', 'muguet', 'almond', 'sugar', 'honey', 'vanilla', 'iris', 'guaiacwood']"
Io Non Ho Mani Che Mi Accarezzino il Volto,UNUM,2,"['Petitgrain', 'bergamot', 'galbanum', 'myrrh', 'cedar', 'geranium', 'clary sage', 'cinnamon', 'styrax', 'ylang-ylang', 'incense', 'benzoin', 'tonka bean', 'tobacco', 'amber', 'sandalwood']"
Black Phantom,By Kilian,5,"['Rum', 'sugar cane', 'dark chocolate', 'coffee', 'caramel', 'almond', 'heliotrope', 'sandalwood']"
Citizen X,Ex Nihilo,3,"['Mastic tree', 'white pepper', 'iris', 'incense', 'ambery woods', 'musks']"
Bracken Woman,Amouage,3,"['Bracken accord', 'wild berries', 'lily', 'narcissus', 'chamomile', 'smoky leather accord', 'patchouli', 'vetiver', 'birch']"
Brooklyn,Gallivant,3,"['Bergamot', 'squeezed lemon', 'orange juice', 'incense', 'cardamom', 'fresh air', 'ozonic notes', 'magnolia', 'orris root', 'transparent flowers', 'musks', 'white woods', 'benzoin', 'amber.']"
Istanbul,Gallivant,5,"['Bergamot', 'cardamom', 'red thyme', 'lavender absolute', 'egyptian geranium essence', 'patchouli heart', 'sweet myrrh', 'sandalwood', 'vanilla', 'tonka bean', 'amber', 'musks']"
London,Gallivant,3,"['Cucumber', 'violet leaves', 'rose de mai', 'rose oil', 'orris root', 'leather', 'sandalwood', 'patchouli', 'cedar']"
Tel Aviv,Gallivant,2,"['Clementine', 'bergamot', 'blackcurrant bud', 'jasmine sambac', 'ylang ylang', 'rose oil', 'freesia', 'sandalwood', 'musks', 'benzoin']"
La Tosca,Xerjoff - Casamorati,3,"['Italian lemon', 'green manadarin', 'Bulgarian rose', 'eucalyptus', 'violet leaves', 'patchouli', 'musk', 'amber', 'vanilla']"
Mirabilis,L'Artisan Parfumeur,3,"['Ambrox', 'incense', 'white musk vulcanolide']"
Arcana Rosa,L'Artisan Parfumeur,1,"['Rose', 'cedarwood', 'sandalwood', 'vetiver', 'cade', 'labdanum']"
Tenebrae,L'Artisan Parfumeur,3,"['Incense', 'resin', 'sap']"
You Or Someone Like You,Etat Libre d'Orange,3,unknown
Violaceum,L'Artisan Parfumeur,3,"['Carrot', 'saffron', 'leather', 'violet']"
Venenum,L'Artisan Parfumeur,3,"['Masala chai', 'rice', 'sandalwood']"
Nisean,Parfums de Marly,3,"['Saffron', 'labdanum', 'flowers', 'patchouli', 'precious woods']"
Acqua e Zucchero Body Cream,Profumum,5,unknown
Acqua di Sale Body Cream,Profumum,5,unknown
Acqua Viva Body Cream,Profumum,5,unknown
Dulcis in Fundo Body Cream,Profumum,5,unknown
Confetto Body Cream,Profumum,5,unknown
Vanitas Body Cream,Profumum,5,unknown
Feu Secret,Bruno Fazzolari,3,"['Hemlock spruce', 'eucalyptus', 'iris', 'turmeric', 'pink pepper', 'Himalayan cedar', 'birch tar', 'vanilla']"
Musc,Bruno Acampora,3,"['Musk', 'honeyed florals', 'neroli', 'rose', 'jasmine', 'violet', 'vanilla', 'amber', 'lavender', 'patchouli', 'sandalwood']"
Musc Gold,Bruno Acampora,3,"['Musk', 'honeyed florals', 'neroli', 'rose', 'jasmine', 'violet', 'vanilla', 'amber', 'lavender', 'patchouli', 'sandalwood']"
Cypress Shade,The House Of Oud,3,"['Lemon', 'bergamot', 'badiane', 'mandarin', 'petitgrain', 'mimosa', 'coriander', 'mint', 'cedar', 'vetiver', 'oud']"
Dates Delight,The House Of Oud,5,"['Peony', 'dates', 'coumarin', 'caramel', 'tonka', 'cinnamon', 'honey', 'labdanum', 'benzoin', 'vanilla', 'sugar']"
Golden Powder,The House Of Oud,5,"['Nutmeg', 'cinnamon', 'sandalwood', 'guaiac wood', 'cedar', 'papyrus', 'musk', 'labdanum', 'vanilla', 'coumarin', 'tobacco blossom']"
Grape Pearls,The House Of Oud,5,"['Floral notes', 'blueberry', 'grape', 'grape leaf', 'rose', 'coffee', 'amber', 'vanilla', 'white musk']"
Almond Harmony,The House Of Oud,2,"['Orange blossom', 'almond', 'iris', 'jasmine', 'heliotrope', 'ylang-ylang', 'tolu balsam', 'tonka bean', 'musk', 'vanilla', 'peru balsam', 'Burma oud']"
Blessing Silence,The House Of Oud,4,"['Labdanum', 'patchouli', 'sandalwood', 'rose', 'Indi oud']"
Breath Of The Infinite,The House Of Oud,3,"['Peony', 'freesia', 'peach', 'musk', 'ambroxan', 'cashmeran', 'oud']"
Clandestine Clara,Penhaligons,5,"['Rhum vanilla', 'cinnamon musk', 'amber', 'patchouli']"
